,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score,Point Difference,Home Win,Home Loss
269,2020-12-31T00:00:00.000Z,Houston Rockets,Sacramento Kings,122,119,3,1,0
270,2021-01-18T00:00:00.000Z,Washington Wizards,Cleveland Cavaliers,120,105,15,1,0
271,2021-01-02T00:00:00.000Z,Houston Rockets,Sacramento Kings,102,94,8,1,0
272,2021-01-01T00:00:00.000Z,Charlotte Hornets,Memphis Grizzlies,93,108,-15,0,1
273,2021-02-21T00:00:00.000Z,New Orleans Pelicans,Boston Celtics,120,115,5,1,0
274,2021-02-27T00:00:00.000Z,Philadelphia 76ers,Cleveland Cavaliers,109,112,-3,0,1
275,2021-03-04T00:00:00.000Z,Boston Celtics,Toronto Raptors,132,125,7,1,0
276,2021-01-27T00:00:00.000Z,Charlotte Hornets,Indiana Pacers,106,116,-10,0,1
277,2021-02-09T00:00:00.000Z,Detroit Pistons,Brooklyn Nets,122,111,11,1,0
278,2021-01-06T00:00:00.000Z,Indiana Pacers,Houston Rockets,114,107,7,1,0
279,2021-01-10T00:00:00.000Z,Detroit Pistons,Utah Jazz,86,96,-10,0,1
280,2021-01-11T00:00:00.000Z,Charlotte Hornets,New York Knicks,109,88,21,1,0
281,2021-02-12T00:00:00.000Z,Charlotte Hornets,Minnesota Timberwolves,120,114,6,1,0
282,2021-02-04T00:00:00.000Z,Philadelphia 76ers,Portland Trail Blazers,105,121,-16,0,1
