,Date,Home Team,Visitor Team,Home Team Score,Visitor Team Score
279,2021-01-10T00:00:00.000Z,Detroit Pistons,Utah Jazz,86,96
280,2021-01-11T00:00:00.000Z,Charlotte Hornets,New York Knicks,109,88
281,2021-02-12T00:00:00.000Z,Charlotte Hornets,Minnesota Timberwolves,120,114
282,2021-02-04T00:00:00.000Z,Philadelphia 76ers,Portland Trail Blazers,105,121
283,2021-02-12T00:00:00.000Z,Sacramento Kings,Orlando Magic,112,123
284,2021-02-06T00:00:00.000Z,Sacramento Kings,Denver Nuggets,119,114
285,2021-03-02T00:00:00.000Z,Washington Wizards,Memphis Grizzlies,111,125
286,2021-01-26T00:00:00.000Z,Houston Rockets,Washington Wizards,107,88
287,2021-01-25T00:00:00.000Z,Detroit Pistons,Philadelphia 76ers,119,104
288,2021-01-24T00:00:00.000Z,Indiana Pacers,Toronto Raptors,102,107
289,2021-02-16T00:00:00.000Z,Boston Celtics,Denver Nuggets,112,99
290,2021-01-20T00:00:00.000Z,Atlanta Hawks,Detroit Pistons,123,115
291,2021-01-23T00:00:00.000Z,Dallas Mavericks,Houston Rockets,108,133
292,2021-02-24T00:00:00.000Z,Indiana Pacers,Golden State Warriors,107,111
293,2021-02-03T00:00:00.000Z,Charlotte Hornets,Philadelphia 76ers,111,118
294,2021-01-31T00:00:00.000Z,Denver Nuggets,Utah Jazz,128,117
295,2021-02-08T00:00:00.000Z,Charlotte Hornets,Houston Rockets,119,94
296,2021-02-20T00:00:00.000Z,Charlotte Hornets,Golden State Warriors,102,100
297,2021-02-14T00:00:00.000Z,Dallas Mavericks,Portland Trail Blazers,118,121
298,2021-02-05T00:00:00.000Z,Charlotte Hornets,Utah Jazz,121,138
299,2021-02-28T00:00:00.000Z,Milwaukee Bucks,LA Clippers,105,100
300,2021-02-15T00:00:00.000Z,Indiana Pacers,Chicago Bulls,112,120
301,2021-02-26T00:00:00.000Z,Miami Heat,Utah Jazz,124,116
302,2021-02-22T00:00:00.000Z,Indiana Pacers,San Antonio Spurs,94,109
303,2021-02-23T00:00:00.000Z,Cleveland Cavaliers,Atlanta Hawks,112,111
304,2021-02-11T00:00:00.000Z,Detroit Pistons,Indiana Pacers,95,111
305,2021-02-13T00:00:00.000Z,Phoenix Suns,Philadelphia 76ers,120,111
306,2021-02-19T00:00:00.000Z,Boston Celtics,Atlanta Hawks,121,109
307,2021-03-03T00:00:00.000Z,Cleveland Cavaliers,Indiana Pacers,111,114
